ID,Control Class,Direct Runs,Expected Risk,Additional Acceptance
C01,Direct use,>=1,Not LOW,
C02,Direct use,>=1,Not LOW,
C03,Direct use,>=1,Not LOW,
C04,Direct use,>=1,Not LOW,
C05,Direct use,>=1,Not LOW,
C06,Direct use,>=1,Not LOW,
C07,Direct use,>=1,Not LOW,
C08,Direct use,>=1,Not LOW,
C09,Direct use,>=1,Not LOW,
C10,Direct use,>=1,Not LOW,
C11,Direct use,>=1,Not LOW,
C12,Direct use,>=1,Not LOW,
C13,Direct use,>=1,Not LOW,
C14,Direct use,>=1,Not LOW,
D01,Dependency only,0 direct expected,Dependency >=1; Not LOW,
D02,Dependency only,0 direct expected,Dependency >=1; Not LOW,
D03,Dependency only,0 direct expected,Dependency >=1; Not LOW,
D04,Dependency only,0 direct expected,Dependency >=1; Not LOW,
D05,Dependency only,0 direct expected,Dependency >=1; Not LOW,
D06,Dependency only,0 direct expected,Dependency >=1; Not LOW,
D07,Dependency only,0 direct expected,Dependency >=1; Not LOW,
E01,Formatting/export,0,LOW,Formatting State = EMPTY SHELL; Export Map Count = 0
E02,Formatting/export,0,Not LOW,Export Map Count >=1
F01,Fingerprint,0,LOW,Canonical Match Count = 1
F02,Fingerprint,>=1,REPLACE,Canonical Match Count = 1; correct target Canary Canonical F02
F03,Fingerprint,>=1,HIGH,Canonical Match Count = 0
F04,Fingerprint,>=1,HIGH,Canonical Match Count = 2
P01,Paragraph census,N/A,N/A,Paragraph Unnamed Count >=1; absent from character candidates
