Date,Version,Context,Error,Line,Diagnosis,Fixed In,Caught By,Failure Mode
2026-08-18,1.0.0,Unused-style row construction,Error 21: undefined is not an object,97,emptyUsage omitted samples array before usage.samples.join(),1.0.1,First production audit,LOUD
2026-08-18,1.0.1,Canonical equivalence,No runtime error,,Empty imported shells matched many other imported Word styles and produced false canonical-match signals,1.0.2,Production audit review,SILENT
2026-08-18,1.0.3,Table-cell direct usage,No runtime error,,Story-only traversal could classify a style used only in a table cell as unused,1.0.4,Peer review,SILENT
2026-08-18,1.0.4,Endnote traversal,Error 55: object does not support property or method endnotes,1424,Generic traversal probed endnotes on an object class that did not expose it,1.0.5,Canary,LOUD
2026-08-18,1.0.6,Canary builder direct-style application,Error 24: applyCharacterStyle is not a function,608,Builder passed Story containers to a method exposed by Text objects; eleven controls failed at the shared helper,1.0.7,Canary builder,LOUD
2026-08-18,1.0.6,Canary C05 endnote construction,No runtime error,,Endnote construction completed but direct-object read-back found literal=NO and only three characters; intended endnote text was never established,1.0.7,Canary builder read-back,SILENT
2026-08-18,1.0.6,Canary C06 overset verification,No runtime error,,Builder styled a character range but verifier expected a text object with a characters collection and returned undefined style evidence,1.0.7,Canary builder read-back,SILENT
2026-08-18,1.0.6,Canary E02 export semantics,No runtime error,,Known EPUB StyleExportTagMap was enumerated as zero; E02 was classified LOW while ExportMapScanComplete reported YES,1.0.8,Canary scanner CSV review,SILENT
2026-08-18,1.0.6,Page/location reporting,No runtime error,,C13 threaded multi-page story and C14 parent-page table were found but reported unusable No page/Pasteboard locations,1.0.8,Canary scanner CSV review,SILENT
2026-08-18,1.0.6,Traversal capability instance counts,No runtime error,,Capability matrix instance values reflected representative probe counts rather than literal document inventory for several surfaces,1.0.8,Canary scanner CSV review,SILENT
2026-08-18,1.0.6,Index generation dependency path,No runtime error,,Scanner queried Document.indexOptions instead of the documented Document.indexGenerationOptions and reported the wrong-name path as N/A,1.0.8,CSV review plus DOM reference verification,SILENT
